source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0046467,membrane lipid biosynthetic process,0.006317483946536871,True,"""The chemical reactions and pathways resulting in the formation of membrane lipids, any lipid found in or associated with a biological membrane."" [GOC:ai]",75,27,5,6510,0.18518518518518517,0.06666666666666667,query_1,"['GO:0006643', 'GO:0008610']"
GO:BP,GO:0006505,GPI anchor metabolic process,0.006789516813506955,True,"""The chemical reactions and pathways involving glycosylphosphatidylinositol anchors, molecular mechanisms for attaching membrane proteins to the lipid bilayer of cell membranes. Structurally they consist of a molecule of phosphatidylinositol to which is linked, via the C-6 hydroxyl of the inositol, a carbohydrate chain. This chain is in turn linked to the protein through an ethanolamine phosphate group, the amino group of which is in amide linkage with the C-terminal carboxyl of the protein chain, the phosphate group being esterified to the C-6 hydroxyl of the terminal mannose of the core carbohydrate chain."" [ISBN:0198506732]",36,27,4,6510,0.14814814814814814,0.1111111111111111,query_1,"['GO:0006664', 'GO:0046488']"
GO:BP,GO:0016197,endosomal transport,0.007583118946663874,True,"""The directed movement of substances mediated by an endosome, a membrane-bounded organelle that carries materials enclosed in the lumen or located in the endosomal membrane."" [ISBN:0198506732]",134,27,6,6510,0.2222222222222222,0.04477611940298507,query_1,"['GO:0016192', 'GO:0046907']"
GO:CC,GO:0005783,endoplasmic reticulum,0.009422064053562737,True,"""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]",719,27,11,6555,0.4074074074074074,0.015299026425591099,query_1,"['GO:0005737', 'GO:0012505', 'GO:0043231']"
GO:CC,GO:0031984,organelle subcompartment,0.013177159000455364,True,"""A compartment that consists of a lumen and an enclosing membrane, and is part of an organelle."" [GOC:mah, GOC:pz]",487,27,9,6555,0.3333333333333333,0.018480492813141684,query_1,"['GO:0043227', 'GO:0043229', 'GO:0110165']"
GO:CC,GO:0032991,protein-containing complex,0.017528329765007334,True,"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]",2226,27,19,6555,0.7037037037037037,0.008535489667565139,query_1,['GO:0005575']
GO:CC,GO:0005789,endoplasmic reticulum membrane,0.029943924466864762,True,"""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]",421,27,8,6555,0.2962962962962963,0.019002375296912115,query_1,"['GO:0031090', 'GO:0042175', 'GO:0098827']"
GO:MF,GO:0016769,"transferase activity, transferring nitrogenous groups",0.03141690104226553,True,"""Catalysis of the transfer of a nitrogenous group from one compound (donor) to another (acceptor)."" [GOC:jl, ISBN:0198506732]",26,27,3,6538,0.1111111111111111,0.11538461538461539,query_1,['GO:0016740']
GO:CC,GO:0098827,endoplasmic reticulum subcompartment,0.03145391780192542,True,"""A distinct region of the endoplasmic reticulum."" [GOC:dos]",424,27,8,6555,0.2962962962962963,0.018867924528301886,query_1,"['GO:0005783', 'GO:0031984']"
GO:MF,GO:0004175,endopeptidase activity,0.03402732234189086,True,"""Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain."" [http://merops.sanger.ac.uk/about/glossary.htm#ENDOPEPTIDASE]",69,27,4,6538,0.14814814814814814,0.057971014492753624,query_1,['GO:0008233']
GO:CC,GO:1990070,TRAPPI protein complex,0.03578466856362001,True,"""A complex that tethers COPII vesicles at ER-Golgi intermediate compartment. Its role in this part of the vesicular transport may start at the ER exit sites. Binds to a component of the COPII coat. In yeast it includes the following subunits: Bet3 (as homodimer), Bet5, Trs20, Trs23, Trs31, Trs33 which are regarded as the core subunits of all TRAPP complexes in yeast."" [GOC:bhm, PMID:20375281, PMID:22669257]",6,27,2,6555,0.07407407407407407,0.3333333333333333,query_1,"['GO:0005793', 'GO:0030008']"
GO:CC,GO:0042175,nuclear outer membrane-endoplasmic reticulum membrane network,0.03814034311106101,True,"""The continuous network of membranes encompassing the nuclear outer membrane and the endoplasmic reticulum membrane."" [GOC:bf, GOC:jl, GOC:mah, GOC:mcc, GOC:pr, GOC:vw]",436,27,8,6555,0.2962962962962963,0.01834862385321101,query_1,"['GO:0012505', 'GO:0016020']"
GO:CC,GO:0098796,membrane protein complex,0.0412394016056152,True,"""Any protein complex that is part of a membrane."" [GOC:dos]",329,27,7,6555,0.25925925925925924,0.02127659574468085,query_1,"['GO:0016020', 'GO:0032991']"
GO:CC,GO:0031595,nuclear proteasome complex,0.049971221576483434,True,"""A proteasome found in the nucleus of a cell."" [GOC:mah]",7,27,2,6555,0.07407407407407407,0.2857142857142857,query_1,"['GO:0000502', 'GO:0031981', 'GO:0140513']"
GO:CC,GO:1990072,TRAPPIII protein complex,0.049971221576483434,True,"""A complex that functions in anterograde transport at the Golgi and also regulates autophagy. In yeast it includes at least the following subunits: Bet3 (as homodimer), Bet5, Trs20, Trs23, Trs31, Trs33, Trs85. TRAPPIII may include further, as yet undescribed, proteins."" [GOC:bhm, PMID:20375281, PMID:22669257]",7,27,2,6555,0.07407407407407407,0.2857142857142857,query_1,"['GO:0005794', 'GO:0030008']"
