source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0140535,intracellular protein-containing complex,0.00031640056246973766,True,"""A protein-containing complex located intracellularly."" [GOC:pg]",494,11,7,6555,0.6363636363636364,0.01417004048582996,query_1,['GO:0032991']
GO:BP,GO:0051130,positive regulation of cellular component organization,0.00102550042486558,True,"""Any process that activates or increases the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]",144,11,5,6510,0.45454545454545453,0.034722222222222224,query_1,"['GO:0016043', 'GO:0048522', 'GO:0051128']"
GO:CC,GO:0031981,nuclear lumen,0.0027995085340506596,True,"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]",684,11,7,6555,0.6363636363636364,0.01023391812865497,query_1,"['GO:0005634', 'GO:0070013']"
GO:CC,GO:1990234,transferase complex,0.004317268529327324,True,"""A protein complex capable of catalyzing the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor)."" [GOC:bhm, PMID:16540464]",472,11,6,6555,0.5454545454545454,0.012711864406779662,query_1,['GO:1902494']
GO:CC,GO:0032991,protein-containing complex,0.014482868833299597,True,"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]",2226,11,10,6555,0.9090909090909091,0.004492362982929021,query_1,['GO:0005575']
GO:CC,GO:1902494,catalytic complex,0.01845799387179213,True,"""A protein complex which is capable of catalytic activity."" [GOC:bhm, GOC:TermGenie, PMID:8077207]",912,11,7,6555,0.6363636363636364,0.007675438596491228,query_1,['GO:0032991']
GO:CC,GO:0005634,nucleus,0.024409850978618516,True,"""A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."" [GOC:go_curators]",2351,11,10,6555,0.9090909090909091,0.004253509145044662,query_1,['GO:0043231']
GO:BP,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,0.028419204165389608,True,"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, and mediated by the proteasome."" [GOC:go_curators]",138,11,4,6510,0.36363636363636365,0.028985507246376812,query_1,"['GO:0006511', 'GO:0010498']"
GO:BP,GO:0010498,proteasomal protein catabolic process,0.04148909572554646,True,"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome."" [GOC:tb]",152,11,4,6510,0.36363636363636365,0.02631578947368421,query_1,"['GO:0030163', 'GO:0051603']"
GO:CC,GO:0140513,nuclear protein-containing complex,0.047617203456519513,True,"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together in the nucleus."" [GOC:pg]",724,11,6,6555,0.5454545454545454,0.008287292817679558,query_1,"['GO:0005634', 'GO:0032991']"
GO:CC,GO:0031974,membrane-enclosed lumen,0.04906503152633875,True,"""The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."" [GOC:add, GOC:mah]",1062,11,7,6555,0.6363636363636364,0.006591337099811676,query_1,['GO:0110165']
GO:CC,GO:0043233,organelle lumen,0.04906503152633875,True,"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]",1062,11,7,6555,0.6363636363636364,0.006591337099811676,query_1,"['GO:0031974', 'GO:0043226']"
GO:CC,GO:0070013,intracellular organelle lumen,0.04906503152633875,True,"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]",1062,11,7,6555,0.6363636363636364,0.006591337099811676,query_1,"['GO:0043229', 'GO:0043233']"
