source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0005685,U1 snRNP,0.013753139102074503,True,"""A ribonucleoprotein complex that contains small nuclear RNA U1, a heptameric ring of Sm proteins, as well as several proteins that are unique to the U1 snRNP, most of which remain associated with the U1 snRNA both while the U1 snRNP is free or assembled into a series of spliceosomal complexes."" [GOC:krc, GOC:mah, ISBN:0879695897]",18,8,2,6555,0.25,0.1111111111111111,query_1,['GO:0097525']
GO:CC,GO:0000243,commitment complex,0.020713856866803132,True,"""A spliceosomal complex that is formed by association of the U1 snRNP with the 5' splice site of an unspliced intron in an RNA transcript."" [GOC:krc, ISBN:0879695897, PMID:9150140]",22,8,2,6555,0.25,0.09090909090909091,query_1,['GO:0005684']
GO:CC,GO:0071004,U2-type prespliceosome,0.041468008574089395,True,"""A spliceosomal complex that is formed by association of the 5' splice site with the U1 snRNP, while the branch point sequence is recognized by the U2 snRNP. The prespliceosome includes many proteins in addition to those found in the U1 and U2 snRNPs. Commitment to a given pair of 5' and 3' splice sites occurs at the time of prespliceosome formation."" [GOC:ab, GOC:krc, GOC:mah, PMID:17332742, PMID:19239890]",31,8,2,6555,0.25,0.06451612903225806,query_1,"['GO:0005684', 'GO:0071010']"
GO:CC,GO:0071010,prespliceosome,0.041468008574089395,True,"""A spliceosomal complex that is formed by association of the 5' splice site and the branch point sequence with specific snRNPs. The prespliceosome includes many proteins in addition to those found in the bound snRNPs. Commitment to a given pair of 5' and 3' splice sites occurs at the time of prespliceosome formation. Prespliceosome complexes are not active for splicing, but are instead an early step in the assembly of a spliceosomal complex."" [GOC:ab, GOC:krc, GOC:mah, PMID:17332742, PMID:19239890]",31,8,2,6555,0.25,0.06451612903225806,query_1,['GO:0005681']
