source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0005783,endoplasmic reticulum,0.0010276287157759243,True,"""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]",719,5,5,6555,1.0,0.006954102920723227,query_1,"['GO:0005737', 'GO:0012505', 'GO:0043231']"
GO:CC,GO:0005801,cis-Golgi network,0.004644783216925293,True,"""The network of interconnected tubular and cisternal structures located at the convex side of the Golgi apparatus, which abuts the endoplasmic reticulum."" [ISBN:0198506732, ISBN:0815316194]",18,5,2,6555,0.4,0.1111111111111111,query_1,"['GO:0005794', 'GO:0043231']"
GO:CC,GO:0005789,endoplasmic reticulum membrane,0.005220897672915532,True,"""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]",421,5,4,6555,0.8,0.009501187648456057,query_1,"['GO:0031090', 'GO:0042175', 'GO:0098827']"
GO:CC,GO:0098827,endoplasmic reticulum subcompartment,0.0053697811404542104,True,"""A distinct region of the endoplasmic reticulum."" [GOC:dos]",424,5,4,6555,0.8,0.009433962264150943,query_1,"['GO:0005783', 'GO:0031984']"
GO:CC,GO:0042175,nuclear outer membrane-endoplasmic reticulum membrane network,0.005997052281103995,True,"""The continuous network of membranes encompassing the nuclear outer membrane and the endoplasmic reticulum membrane."" [GOC:bf, GOC:jl, GOC:mah, GOC:mcc, GOC:pr, GOC:vw]",436,5,4,6555,0.8,0.009174311926605505,query_1,"['GO:0012505', 'GO:0016020']"
GO:CC,GO:0031984,organelle subcompartment,0.009286924485085462,True,"""A compartment that consists of a lumen and an enclosing membrane, and is part of an organelle."" [GOC:mah, GOC:pz]",487,5,4,6555,0.8,0.008213552361396304,query_1,"['GO:0043227', 'GO:0043229', 'GO:0110165']"
GO:CC,GO:0012505,endomembrane system,0.011243715543412322,True,"""A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."" [GOC:lh]",1159,5,5,6555,1.0,0.004314063848144953,query_1,['GO:0110165']
GO:CC,GO:0031090,organelle membrane,0.02834260295376068,True,"""A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle."" [GOC:dos, GOC:mah]",1394,5,5,6555,1.0,0.003586800573888092,query_1,"['GO:0016020', 'GO:0043227']"
